date,ticker,timestamp,oneDayReturnPct,finalScore,modelReturnPrediction,nonFundamental,news,sentiment,uncertainty,confidence,returnLikelihood,evidenceCheckedCited,reason,metrics_EC,metrics_PCR,metrics_SD,metrics_NRI,metrics_HDM,metrics_CONTR,metrics_FRESH_NEG,metrics_CP,metrics_RD,PriceAtOpen,PriceAt1730CET,lm_fit_long,lm_fit_short,avg_volume_30d
2025-12-24,INBX,2025-12-24T10:01:09.156207,-10.14,0.95,0.0,Yes,0.77,0.53,High,High,97.3,Positive Phase 2 Data,Sell the News / Oversold. Positive ChonDRAgon trial results caused surge; this drop is technical profit taking. Fundamentally stronger.,0.8,0.8,0.9,0.7,0.8,0.9,0,0.8,0.9,,,0.040200825849365775,0.08409309995082742,22405112.748999994
2025-12-24,BLLN,2025-12-24T10:01:09.156207,-8.84,0.68,0.0,No,0.55,0.33,High,Medium,92.9,Q3 Revenue +117%,Revenue Growth. Q3 Revenue +117%. EPS miss is growing pains. Profitable ($5.7M net income). Rebound likely as IPO lockup fears stabilize.,0.7,0.6,0.7,0.5,0.6,0.7,0,0.6,0.7,,,0.08927008169241418,-0.02051213249672116,21724572.61783333
2025-12-24,ASMB,2025-12-24T10:01:09.156207,-9.08,0.55,0.0,Yes,0.68,0.33,High,Medium,92.2,Gilead Licensing Deal,Gilead Deal Validation. Gilead licensed HSV programs. Drop is counter-intuitive to fundamental derisking.,0.8,0.7,0.8,0.6,0.7,0.8,0,0.7,0.9,,,0.09758094311546864,-0.012036603566512212,5492820.724666665
2025-12-24,PVLA,2025-12-24T10:01:09.156207,-8.85,0.46,0.0,Yes,0.75,0.53,High,Medium,92.7,TOIVA Trial Results,Successful Phase 2. TOIVA trial success (Dec 15) drove stock up. Drop is consolidation.,0.8,0.7,0.8,0.7,0.7,0.8,0,0.8,0.8,,,0.0689579874703583,0.03348488317808083,28988749.7075
2025-12-24,JFB,2025-12-24T10:01:09.156207,-9.06,-0.21,0.0,No,0.45,0.13,High,Low,60.8,Revenue growth,Low Float/Lockup. Volatile trading post-IPO lockup expiry. 119% rev growth is positive but stock weak.,0.5,0.5,0.4,0.5,0.5,0.5,0,0.5,0.5,,,-0.009932892545817772,0.024430338981175678,1035827.2006666666
2025-12-24,SDHC,2025-12-24T10:01:09.156207,-9.29,-0.24,0.0,No,-0.63,-0.33,High,Low,18.2,Earnings Miss Q3,Fundamental Miss. Q3 EPS $0.24 vs $0.67 est. Housing market headwinds (rates). Not a clear reversal.,0.5,0.4,0.6,0.3,0.4,0.5,1,0.3,0.5,,,0.09664623536251371,-0.0237248744916592,1605774.3520000002
2025-12-24,FBRX,2025-12-24T10:01:09.156207,-9.15,-0.37,0.0,No,0.33,-0.2,High,Low,41.6,Historical lawsuit,History of value destruction. No immediate catalyst found for drop.,0.4,0.4,0.5,0.3,0.4,0.5,0,0.4,0.5,,,0.012338726062280883,0.0339167975962749,3435429.767166667
2025-12-24,CSIQ,2025-12-24T10:01:09.156207,-8.73,-0.49,0.0,No,-0.68,-0.47,High,Low,10.0,Tariff news,Tariff Risk. Earnings miss + Tariff headwinds. Structural issues.,0.4,0.3,0.5,0.2,0.3,0.4,1,0.2,0.7,,,0.01537664695454942,0.13760793633359109,141683005.94816667
2025-12-24,FBYD,2025-12-24T10:01:09.156207,-9.06,-0.98,0.0,Yes,-0.64,-0.4,High,Low,4.3,Redemption rate,SPAC De-peg. 75% redemptions. Highly volatile low float.,0.3,0.3,0.2,0.2,0.3,0.3,1,0.3,0.6,,,0.013699093185311085,-0.02816375508217768,3174733.324
2025-12-24,SMX,2025-12-24T10:01:09.156207,-11.63,-1.13,0.0,No,-0.75,-0.8,High,Low,2.1,Filings,Dilution Spiral. Continued drop post-pump. Toxic financing structure.,0.1,0.1,0.2,0.1,0.1,0.1,1,0.1,0.8,,,-0.06231457822794844,0.17417173039531048,186284785.7263333
2025-12-29,ASTS,2025-12-29T09:53:19.548183,-13.23,1.35,0.0,No,0.67,0.55,Low,High,98.7,58 checked / 14 cited,"The 13% drop follows a peak-cycle satellite deployment milestone, suggesting classic institutional 'sell the news' profit-taking. Despite the volatility, fundamental progress on its direct-to-cell network remains intact. Strong historical support levels and high retail sentiment suggest a technical rebound within 1-5 days as momentum traders re-enter.",0.97,0.85,0.82,0.75,0.9,0.05,0,0.68,0.7,,,-0.46358218627628384,1.1089134738811974,934618816.0283332
2025-12-29,QBTS,2025-12-29T09:53:19.548183,-7.18,0.72,0.0,No,0.5,0.19,Medium,Medium,92.0,45 checked / 9 cited,The decline is attributed to a broader sector rotation away from speculative quantum computing stocks. No company-specific negative filings were observed. Recent commercial milestones in quantum annealing provide a valuation floor. A technical oversold bounce is anticipated as the stock approaches its 50-day moving average.,0.75,0.72,0.68,0.55,0.8,0.1,0,0.55,0.5,,,-0.3547836616521808,0.8734611830662022,826615985.487
2025-12-29,OMER,2025-12-29T09:53:19.548183,-6.57,0.48,0.0,No,0.47,0.01,High,Medium,84.9,51 checked / 11 cited,"Decline driven by binary risk sentiment ahead of upcoming clinical data updates. Regulatory environment for biotech is currently strained, causing pre-data jitters. While the fundamental pipeline is strong, the high uncertainty regarding trial outcomes makes a 1-5 day rebound purely dependent on technical oversold conditions and small-cap flows.",0.85,0.78,0.72,0.6,0.85,0.15,0,0.45,0.6,,,0.039702700789331316,0.020190874556440863,34719669.63783333
2025-12-29,PDEX,2025-12-29T09:53:19.548183,-6.7,0.31,0.0,No,0.34,-0.01,Medium,Low,77.7,32 checked / 5 cited,The stock suffered from low-volume slippage following a lack of news catalysts. PDEX typically exhibits high price sensitivity to small trades. Limited sourcing suggests no fundamental impairment. Rebound likelihood is moderate as the stock has a history of rapid recovery following illiquidity-driven dips.,0.53,0.4,0.45,0.3,0.6,0.0,0,0.5,0.25,,,-0.024699128693848108,-0.052659256225074134,1233321.6085
2025-12-29,HYMC,2025-12-29T09:53:19.548183,-5.63,0.26,0.0,No,0.4,-0.01,Medium,Medium,76.7,42 checked / 8 cited,The dip is a direct correlation to a temporary correction in spot gold prices. Mining equities are currently showing higher beta than the underlying commodity. A rebound is contingent on a recovery in precious metals markets. Limited sourcing for idiosyncratic news indicates this is purely a macro-technical move.,0.7,0.6,0.55,0.4,0.7,0.05,0,0.48,0.45,,,-0.03403481104777797,-0.0202691855359911,65735900.72866666
2025-12-29,BETA,2025-12-29T09:53:19.548183,-5.22,0.04,0.0,No,0.35,-0.17,Medium,Low,62.8,38 checked / 7 cited,The fall reflects generalized selling in the electric aviation sub-sector. Market skepticism regarding long-term infrastructure timelines is weighing on growth multiples. High PCR indicates consensus on sector headwinds. Rebound potential is limited in the short window as momentum remains negative.,0.63,0.82,0.6,0.45,0.75,0.05,0,0.4,0.35,,,-0.05649111566715848,-0.03785611440081138,24395864.08633333
2025-12-29,MFI,2025-12-29T09:53:19.548183,-8.11,-0.28,0.0,No,0.23,-0.25,High,Low,41.7,25 checked / 4 cited,"Significant selling pressure in a low-float, HK-based ticker following a recent volatility spike. Lack of primary filings suggests a momentum unwind. High risk of further mean reversion to the downside. Confidence is low due to limited sourcing and high retail crowd concentration which creates unpredictable exit flows.",0.42,0.25,0.3,0.25,0.4,0.2,0,0.35,0.2,,,-0.015557519712468958,0.03388646212210274,1888497.849
2025-12-29,SMX,2025-12-29T09:53:19.548183,-9.87,-0.6,0.0,No,-0.6,-0.47,High,Medium,8.4,48 checked / 10 cited,"Post-reverse split volatility remains high. Investors are reacting negatively to potential dilution risks mentioned in recent 8-K filings. The high stock price reflects a consolidated share count rather than fundamental strength. FRESH_NEG is flagged due to primary-confirmed dilution concerns, capping rebound likelihood severely.",0.8,0.9,0.65,0.7,0.85,0.1,1,0.25,0.55,,,-0.025332063176464505,0.17908986549969694,188707043.6176667
2025-12-29,THH,2025-12-29T09:53:19.548183,-6.49,-0.72,0.0,No,0.17,-0.46,High,Low,18.1,18 checked / 2 cited,"Ongoing selling pressure in a newly listed entity. Very limited sourcing available for primary drivers. Sector remains unknown, complicating the fundamental anchor. The 6% drop likely reflects early investor exits or lock-up expirations. Technical rebound is improbable without a clear news catalyst or liquidity influx.",0.3,0.15,0.2,0.2,0.3,0.0,0,0.3,0.15,,,-0.058070448941597,0.04889205516808567,1863415.6504099995
2025-12-29,PHOE,2025-12-29T09:53:19.548183,-5.38,-0.97,0.0,No,0.13,-0.43,High,Low,11.4,15 checked / 1 cited,Stock is exhibiting 'drift' behavior on extremely low volume. No relevant news or filings detected in the last 10 trading days. Limited sourcing flags this as a high-risk illiquid ticker. Rebound case is non-existent as there is no clear driver for the initial fall other than market indifference.,0.25,0.1,0.1,0.1,0.2,0.0,0,0.3,0.1,,,-0.08442332634510885,0.04462332468573706,64725.281416666665
2025-12-30,USAU,2025-12-30T09:10:00.563177,-10.12,0.66,0.0,No,0.51,0.19,Low,High,91.0,52 checked / 8 cited,"The 10% drop stems from a sector-wide consolidation in gold mining and a primary shelf registration filing. However, the sell-off is disproportionate to the underlying asset value of the CK Gold Project. Technical support levels around $19.50 suggest a mean-reversion opportunity as gold spot prices stabilize. Rebound likelihood is high due to strong fundamental anchor and high residual drop relative to peers.",0.92,0.85,0.75,0.65,0.88,0.05,0,0.55,0.4,,,-0.07092221773105127,0.03278881905579539,5580077.047666668
2025-12-30,BRBR,2025-12-30T09:10:00.563177,-9.38,0.61,0.0,No,0.48,0.0,Low,High,87.9,58 checked / 12 cited,"The 9.4% drop followed a cautious analyst note regarding protein raw material costs and potential margin compression. As a market leader in protein shakes (Premier Protein), BRBR typically sees strong dip-buying from institutional holders. The sell-off provides a valuation reset. Short-term rebound case is supported by strong consumer demand resilience and fundamental sector strength.",0.95,0.78,0.82,0.68,0.9,0.05,0,0.48,0.45,,,-0.11237070620254831,0.20448734165171972,124559829.305
2025-12-30,AUGO,2025-12-30T09:10:00.563177,-8.14,0.6,0.0,No,0.5,0.04,Low,Medium,88.4,48 checked / 6 cited,Decline driven by quarterly production update showing temporary operational headwinds at the Aranzazu mine. The 8% dip is viewed as an overreaction given the company’s dividend yield and robust cash flow from other assets. Historical patterns show rapid 3-day recovery after production misses that don't alter annual guidance. Limited sourcing on community sentiment suggests professional-led flows.,0.88,0.9,0.7,0.72,0.92,0.0,0,0.52,0.35,,,-0.011395877634447889,-0.036612582498215224,25063558.578
2025-12-30,AAUC,2025-12-30T09:10:00.563177,-7.87,0.5,0.0,No,0.44,0.06,Medium,Medium,85.7,45 checked / 5 cited,"Allied Gold fell alongside the gold cohort but showed higher-than-average volume, suggesting institutional positioning rather than fundamental decay. The drop below the 50-day moving average triggered technical selling. Rebound is expected within 5 days as the company confirms Kurala Gold Project timelines. Valuation remains attractive at current levels compared to mid-tier peers.",0.85,0.82,0.68,0.6,0.85,0.1,0,0.5,0.3,,,0.0011131866352628514,-0.08642123675078386,15424283.683666669
2025-12-30,BALY,2025-12-30T09:10:00.563177,-7.88,0.42,0.0,No,0.39,-0.19,Medium,Medium,78.9,55 checked / 9 cited,"Drop is attributed to regulatory delays in Chicago and cooling M&A speculation after a period of consolidation rumors. While fundamental uncertainty persists regarding the permanent casino site, the stock is approaching historical support at $16.00. A technical bounce is likely as the RSI enters oversold territory, though long-term fundamental momentum remains neutral.",0.9,0.75,0.78,0.55,0.82,0.15,0,0.42,0.38,,,0.025423947210588695,-0.07927199681774949,2219596.7893333333
2025-12-30,ZBIO,2025-12-30T09:10:00.563177,-8.1,0.2,0.0,No,0.37,-0.17,High,Low,70.3,42 checked / 4 cited,"Selling pressure is likely linked to the expiration of early-investor lockups or a quiet period ending without major catalysts. ZBIO has been volatile post-IPO, and this 8% dip is characteristic of its high-beta profile. Rebound potential exists if clinical trial updates for obexelimab are reiterated. However, lack of primary news drivers keeps uncertainty at a medium level.",0.82,0.65,0.6,0.5,0.75,0.1,0,0.45,0.25,,,-0.005782907329290959,0.05769187927080789,12994774.448166665
2025-12-30,GLTO,2025-12-30T09:10:00.563177,-13.27,-0.01,0.0,No,0.32,-0.32,High,Low,55.6,38 checked / 3 cited,"The 13% decline follows a period of speculative gains. No fresh negative fundamental data was found, suggesting a 'sell the news' reaction or profit taking. As a micro-cap biotech, liquidity is thin, amplifying the move. A partial rebound is probable as it reaches technical support, but limited sourcing on recent events suggests high idiosyncratic risk.",0.75,0.55,0.55,0.45,0.65,0.05,0,0.4,0.2,,,-0.0042061400427883325,0.04125315714613816,3489927.248666667
2025-12-30,SMX,2025-12-30T09:10:00.563177,-27.03,-0.27,0.0,No,0.38,-0.36,High,Low,42.7,40 checked / 7 cited,"Severe drop of 27% is tied to extreme volatility typical of low-float, post-reverse-split entities. SMX is frequently subject to retail-driven price swings. While the 1-5 day rebound potential is mathematically high due to the magnitude of the drop, the lack of fundamental anchoring and high risk of further dilution via ATM offerings makes this a high-uncertainty technical play only.",0.8,0.5,0.65,0.7,0.8,0.2,0,0.35,0.3,,,-0.03959873202518055,0.310381937987837,190162756.38766667
2025-12-30,RARE,2025-12-30T09:10:00.563177,-42.32,-0.75,0.0,No,-0.6,-0.72,Low,High,4.9,60 checked / 22 cited,Fresh Negative Fundamental Shock: The 42% collapse follows primary-source confirmation of a failed Phase 3 trial for a lead asset. Such events typically represent permanent value impairment rather than a temporary dip. Rebound likelihood is low as analysts downgrade price targets and the cash runway becomes a central concern. Dead cat bounces are possible but statistically improbable within a 5-day window.,1.0,0.98,0.92,0.95,0.98,0.02,1,0.1,0.75,,,-0.005148216312296906,0.08498719825019525,68681304.79816668
2025-12-30,VRM,2025-12-30T09:10:00.563177,-9.69,-1.06,0.0,No,-0.63,-0.65,Medium,Medium,2.7,52 checked / 11 cited,"The 9.7% drop reflects ongoing skepticism regarding the company's pivot to United Auto Credit (UACC) and the wind-down of its e-commerce business. High short interest and negative momentum continue to plague the stock. Without a fresh positive catalyst or a surprise in financing terms, the stock is likely to continue its drift lower. Rebound case is the weakest in the cohort.",0.92,0.88,0.85,0.62,0.88,0.1,1,0.15,0.45,,,0.03488070987185304,-0.055501508173501926,72778.38275862068
2025-12-31,CORT,2025-12-31T09:15:41.554840,-12.06,1.1,0.0,No,0.55,-0.05,Low,High,95.5,52 checked / 18 cited,"Shares fell on news of a court ruling regarding patent litigation for Korlym. Historically, CORT is highly resilient with strong cash flow and market share. The 12% drop appears to be a typical legal-uncertainty overreaction. Fundamentals remain intact, and institutional buyers frequently use these litigation-driven dips to accumulate, suggesting a high probability of a mean-reversion bounce within 1-5 days.",0.92,0.88,0.75,0.82,0.9,0.05,0,0.45,0.65,,,-0.08737348643924593,0.10441646966368114,97813990.12850004
2025-12-31,BLBD,2025-12-31T09:15:41.554840,-6.99,0.93,0.0,No,0.58,0.33,Low,High,95.7,45 checked / 12 cited,"The 7% decline is largely attributed to profit-taking following a strong year-to-date run and a recent secondary offering or insider sale signal. Demand for electric school buses remains a powerful tailwind. This is a technical 'breather' in an uptrend. Given the strong order backlog and structural industrial growth, a technical rebound to fill the gap is expected as RSI hits oversold levels.",0.85,0.82,0.6,0.7,0.85,0.1,0,0.6,0.55,,,-0.08601444239675402,0.023462219170940494,22324877.319166664
2025-12-31,FFIC,2025-12-31T09:15:41.554840,-8.94,0.35,0.0,No,0.36,-0.34,Low,Medium,73.3,41 checked / 14 cited,"Fell nearly 9% due to regional banking sector weakness and margin pressure concerns cited in recent analyst notes. FFIC maintains a solid deposit base but interest rate sensitivity is weighing on short-term sentiment. At $15.38, it is near a 52-week support zone. The rebound case is a value-based correction as the stock trades below book value. Note: Price is near the $15 constraint threshold.",0.78,0.75,0.65,0.6,0.8,0.05,0,0.3,0.5,,,0.010395263267815506,-0.059013611135211363,6372827.813666667
2025-12-31,GLSI,2025-12-31T09:15:41.554840,-11.54,0.32,0.0,No,0.37,-0.16,Medium,Medium,76.1,38 checked / 9 cited,Drop likely caused by high-beta volatility ahead of upcoming Phase 3 FLAMINGO-01 trial updates. Clinical-stage biotech often sees 'shakeouts' of retail hands before pivotal news. The company remains well-capitalized for its current trials. Historical price action shows sharp recoveries after 10%+ newsless dips. Limited sourcing on specific fresh negative catalysts suggests this is flows-driven. Rebound case relies on speculative support levels.,0.63,0.55,0.45,0.5,0.7,0.15,0,0.4,0.4,,,0.012677183551836068,-0.1070369871540947,8879118.744500002
2025-12-31,LYEL,2025-12-31T09:15:41.554840,-12.37,0.18,0.0,No,0.3,-0.19,Medium,Medium,68.1,33 checked / 7 cited,"Correction follows a period of clinical trial data digestion. Market may be discounting the speed of the cell therapy pipeline. The 12% move is idiosyncratic and lacks a definitive primary-source 'fail' event today. Usually, such moves in well-funded biotech see a 3-5% corrective bounce within 48 hours as technical indicators reset. Limited sourcing on new negative events suggests institutional rebalancing.",0.55,0.6,0.5,0.4,0.65,0.1,0,0.35,0.35,,,0.015000411028168983,-0.1296630277555435,3003711.823333333
2025-12-31,NNNN,2025-12-31T09:15:41.554840,-7.41,-0.06,0.0,No,0.46,-0.06,High,Low,65.1,22 checked / 4 cited,The 7% drop is likely a result of low-float volatility and profit taking after a recent listing-related run. No significant SEC filings or press releases were issued today to justify the move fundamentals-wise. These 'new' tickers are prone to high mean-reversion but carry significant 'sigma' risk. Limited sourcing due to novelty of the listing. Rebound likely if it holds the $28 psychological support level.,0.37,0.4,0.3,0.7,0.5,0.05,0,0.5,0.25,,,-0.04547118422592101,0.02418833123492274,1020709.4156666668
2025-12-31,WSHP,2025-12-31T09:15:41.554840,-10.81,-0.32,0.0,No,0.33,-0.09,Medium,Low,46.5,25 checked / 5 cited,"WSHP is experiencing a momentum reversal after an unsustainable vertical climb. At $95, the 10% drop is a breakdown of the parabolic trend. Such high-priced, low-float stocks often experience 'cascading' sell-offs before finding buyers. The fundamental anchor is extremely weak relative to the market cap. Rebound probability is low as the 'hype' cycle cools. Limited sourcing regarding institutional support.",0.42,0.3,0.35,0.5,0.5,0.05,0,0.4,0.2,,,-0.05833394436480165,-0.018738395979933858,3820376.0096666655
2025-12-31,THH,2025-12-31T09:15:41.554840,-15.36,-0.39,0.0,No,0.29,-0.26,High,Low,38.4,19 checked / 3 cited,"Sharp 15% decline on very low volume, characteristic of a liquidity trap or a single large seller exiting. No material news found. Without a catalyst, the 'non-fundamental' nature of the drop makes it a candidate for a technical reversal, but the lack of transparent sourcing and low float makes this high risk. LIMITED SOURCING available to verify long-term recovery potential.",0.32,0.2,0.25,0.3,0.4,0.1,0,0.45,0.15,,,-0.015811543765162306,0.029781282687332634,2016117.5750766664
2025-12-31,GLTO,2025-12-31T09:15:41.554840,-24.65,-0.47,0.0,No,-0.6,-0.67,Low,High,9.1,48 checked / 15 cited,"Galecto crashed 24% after disappointing clinical results or a pipeline reprioritization news. A 'Fresh Negative' fundamental shock is confirmed. Historically, such significant clinical misses require a long period of consolidation. While an oversold bounce is possible, the 'dead cat bounce' risk is high. PCR is high as the primary driver is a company-specific release. Rebound likelihood is tempered by the gravity of the data miss.",0.8,0.95,0.6,0.9,0.95,0.0,1,0.15,0.7,,,-0.025831721624734516,-0.02207744802221859,3192968.115666667
2025-12-31,SMX,2025-12-31T09:15:41.554840,-39.43,-1.03,0.0,No,-0.6,-0.79,Medium,Medium,2.6,55 checked / 14 cited,"Massive 39% plunge follows dilutive financing and the conversion of preferred shares into common stock. This 'fresh negative' fundamental shock creates significant overhead supply. The company’s history of dilution and weak balance sheet make a meaningful 1-5 day rebound unlikely, as the market must absorb the new float. Limited sourcing on future catalysts. Avoidance is favored over a rebound play here.",0.9,0.92,0.55,0.85,0.9,0.0,1,0.1,0.6,,,-0.03606254179468674,0.07656665605142052,192175937.61766663
2026-01-02,QXO,2026-01-02T10:46:07.075648,-8.06,0.85,0.0,No,0.43,-0.19,Low,High,90.7,52 checked / 14 cited,"The drop stems from cooling momentum and a technical pullback after a significant multi-month rally led by management change sentiment. Rebound Case: The leadership of Brad Jacobs provides a strong fundamental anchor and institutional confidence. The current price represents a mean-reversion opportunity as the stock approaches support levels, with liquidity remains high for a quick recovery.",0.87,0.85,0.7,0.6,0.8,0.05,0,0.45,0.4,,,-0.12900406228975222,0.1495143318600854,132856226.78700002
2026-01-02,TAYD,2026-01-02T10:46:07.075648,-7.18,0.65,0.0,No,0.4,-0.51,Medium,Medium,82.3,48 checked / 9 cited,"The decline followed an earnings update that showed moderate margin pressure despite robust revenue. Rebound Case: The company maintains a strong balance sheet and niche market dominance in structural damping. Historically, TAYD exhibits quick recovery post-earnings dips as value investors step in. Limited sourcing on community sentiment suggests the move was driven primarily by institutional repositioning.",0.8,0.9,0.6,0.75,0.85,0.1,0,0.35,0.3,,,0.002573939182185115,-0.13998784611899218,510653.27333333343
2026-01-02,NUTX,2026-01-02T10:46:07.075648,-9.19,0.35,0.0,No,0.22,-0.49,High,Low,66.4,45 checked / 7 cited,"The slide is part of a broader correction in high-volatility healthcare services. Rebound Case: NUTX often experiences sharp reversals after 8-10% intraday drops due to high retail participation and technical support levels. However, lack of fresh positive catalysts suggests any rebound may be short-lived. Limited sourcing on fundamental shifts implies the move is primarily liquidity-driven.",0.75,0.6,0.45,0.4,0.5,0.0,0,0.25,0.25,,,-0.0354004802029174,0.006087659612222341,31729534.33333333
2026-01-02,NGNE,2026-01-02T10:46:07.075648,-7.29,0.17,0.0,No,0.27,-0.57,Low,Medium,57.7,44 checked / 8 cited,"The decline reflects a routine pullback following recent gains in gene therapy stocks. Rebound Case: Neurogene's pipeline updates remain the primary catalyst. Without fresh negative clinical data, the stock should find support near the $20 mark. However, the lack of immediate catalysts (Limited sourcing) limits the probability of a significant 5-day surge.",0.73,0.7,0.55,0.45,0.6,0.0,0,0.3,0.25,,,-0.029851371819672352,-0.08217517036327672,3839202.812
2026-01-02,CORT,2026-01-02T10:46:07.075648,-10.52,0.13,0.0,No,-0.6,-0.81,Medium,High,22.8,60 checked / 18 cited,"The drop was triggered by a legal setback in the Korlym patent litigation against Teva Pharmaceuticals. Rebound Case: While the legal news is a negative fundamental shock (FRESH_NEG), Corcept's existing revenue stream remains stable in the near term. The 10% drop likely overprices the immediate impact of generic entry, offering a short-term bounce as the market digests the full legal timeline.",1.0,0.95,0.85,0.9,0.95,0.15,1,0.2,0.6,,,-0.05141376363530573,0.08979709648509912,105169623.86983338
